Project_ID,CO2_Reduction,Energy_Output,Environmental_Risk_Index,Konteks_Lingkungan,Peringkat_Dampak,Investment_Cost,Revenue_Stream,Debt_Ratio,Payment_Delay,Konteks_Proyek,Status_Rank,GDP_Growth,Interest_Rate,Bond_Yield,Konteks_Ekonomi,Daya_Tarik_Investasi
PLTS-KALB-001,82450,24308,41,Tylershire: radiasi matahari tinggi,Medium: ★★☆☆☆,226.15,17.03,0.58,18,"PLTS di Port John, biaya logistik tinggi",Low: ★☆☆☆☆,6.3,4.4,5.3,Guerreroborough: pertumbuhan stabil,High: 💵💵💵💵
PLTM-NTB-002,38797,10609,50,Hermanfurt: cuaca stabil,Medium: ★★★☆☆,162.1,6.77,0.43,55,"PLTM di Hillfort, tantangan lahan",Medium: ★☆☆☆,4.6,3.5,4.6,Michaelborough: industri kuat,Medium: 💵💵💵
PLTA-DIY-003,40919,12350,66,Jacksonview: radiasi matahari tinggi,Medium: ★★☆☆☆,138.71,11.28,0.46,58,"PLTA di Lowemouth, permintaan pasar tinggi",Low: ★★★☆☆,4.6,4.1,4.8,West Michaelland: pertumbuhan stabil,Low: 💵💵
PLTA-MALUKU-004,53756,15597,40,North Erictown: cuaca stabil,High: ★★★★☆,119.91,14.03,0.6,44,"PLTA di Mezabury, biaya logistik tinggi",Medium: ★★★★★☆☆,4.2,4.4,5,South Jameston: pariwisata berkembang,Low: 💵💵
PLTM-GORONT-005,36462,6120,41,Johnsonchester: cuaca stabil,Low: ★☆☆☆☆,159.84,15.15,0.62,24,"PLTM di Elizabethborough, permintaan pasar tinggi",Low: ★★★★☆☆,4.9,3.8,4.4,West Elaineville: pertumbuhan stabil,High: 💵💵💵💵💵
PLTA-BANTEN-006,42801,16157,60,North Raymond: risiko sedang,Medium: ★★★☆☆,167.18,7.48,0.63,23,"PLTA di North Davidside, permintaan pasar tinggi",Low: ★★★★★☆☆☆,4.7,3.7,4.9,Smithmouth: pertumbuhan stabil,High: 💵💵💵💵
PLTB-PAPU-007,60309,21725,32,Bowmanburgh: debit air kuat,Medium: ★★☆☆☆,134.54,11.65,0.7,50,"PLTB di Callahanton, akses mudah",Low: ★★☆☆☆☆,4.6,3.9,4.6,East Lynn: ekonomi agro,High: 💵💵💵💵💵
PLTB-BALI-008,38037,21250,65,Christinabury: radiasi matahari tinggi,Low: ★☆☆☆☆,146.4,14.65,0.64,46,"PLTB di Silvaview, permintaan pasar tinggi",Medium: ★★★★☆☆☆,4.5,4.2,5.7,Patriciaburgh: industri kuat,High: 💵💵💵💵
PLTM-JABW-009,34749,16693,28,South Sabrina: risiko sedang,High: ★★★★☆,191.1,15.62,0.57,44,"PLTM di New Kristina, permintaan pasar tinggi",Medium: ★★★☆☆☆,5.1,3,3.9,Knightborough: pariwisata berkembang,High: 💵💵💵💵💵
PLTB-SULS-010,53571,23911,37,Kingfurt: cuaca stabil,High: ★★★★☆,109.58,7.67,0.69,17,"PLTB di Toddfurt, akses mudah",Medium: ★★★★★☆☆☆☆,5.3,3.7,4.9,Lake John: industri kuat,High: 💵💵💵💵
PLTB-JATENG-011,50970,21874,34,Jesusstad: debit air kuat,Medium: ★★★☆☆,133.62,9.64,0.45,45,"PLTB di Michaelside, biaya logistik tinggi",High: ★★★☆☆,5.2,4.1,5.1,Lake Alanshire: pertumbuhan stabil,High: 💵💵💵💵
PLTA-KALB-012,47654,12338,38,Lake Kimberlyhaven: debit air kuat,Medium: ★★☆☆☆,132.86,8.5,0.58,10,"PLTA di Joshuaside, permintaan pasar tinggi",Low: ★★★,5.3,4.9,6,Bakerfort: industri kuat,High: 💵💵💵💵
PLTM-MALUKU-013,36802,11776,35,West William: risiko sedang,Medium: ★★★☆☆,148.67,12.07,0.85,20,"PLTM di New Samuelside, biaya logistik tinggi",Low: ★★★☆☆,4.8,4.2,5.2,Port Ianfurt: ekonomi agro,Medium: 💵💵💵
PLTS-ACHD-014,57469,30714,42,North Samantha: risiko sedang,High: ★★★★★,189.55,11.72,0.74,15,"PLTS di West Kimborough, biaya logistik tinggi",High: ★★☆☆☆,3.9,4.3,6,Heathland: pariwisata berkembang,High: 💵💵💵💵💵
PLTM-KALTIM-015,28066,10301,55,East Henryview: radiasi matahari tinggi,Medium: ★★★☆☆,124.83,6.12,0.61,48,"PLTM di Hicksmouth, tantangan lahan",High: ★★☆☆,4.2,4.2,4.9,North Markchester: industri kuat,High: 💵💵💵💵💵
PLTA-JATENG-016,65499,14866,40,Waltershire: debit air kuat,High: ★★★★★,190.68,10.56,0.62,38,"PLTA di Wilsonburgh, biaya logistik tinggi",Medium: ★,6,3.2,4.3,East Sharonland: industri kuat,Medium: 💵💵💵
PLTM-SULTRA-017,36819,14345,42,East Sarah: risiko sedang,Low: ★☆☆☆☆,83.98,7.6,0.63,55,"PLTM di New Megan, biaya logistik tinggi",Low: ★★★☆☆☆☆,5.2,4.2,5,Ayalafort: industri kuat,Low: 💵💵
PLTM-KALSEL-018,36625,12879,47,East Haileyland: radiasi matahari tinggi,High: ★★★★☆,243.29,21.77,0.48,23,"PLTM di Mariamouth, akses mudah",Medium: ★★★★☆☆☆,5.5,3.5,4.7,Port Micheleport: pariwisata berkembang,Medium: 💵💵💵
PLTS-KALB-019,92378,20896,44,South Eric: debit air kuat,Medium: ★★★☆☆,170.64,16.46,0.79,36,"PLTS di New Timothy, tantangan lahan",High: ★☆☆☆☆,4.8,3.6,4.3,Jacobbury: pertumbuhan stabil,High: 💵💵💵💵
PLTA-JATENG-020,41841,17691,50,South Ashley: cuaca stabil,Medium: ★★☆☆☆,163.83,15.82,0.6,22,"PLTA di Sandrafurt, tantangan lahan",Medium: ★★★★☆☆☆,6.2,3.9,5.7,Hayesborough: industri kuat,Medium: 💵💵💵
PLTB-JATIM-021,56256,14571,28,Port Bobby: cuaca stabil,Low: ★☆☆☆☆,174.12,13.15,0.67,44,"PLTB di Justinport, biaya logistik tinggi",Low: ★★☆,5.4,4,4.7,Lake Danielmouth: pertumbuhan stabil,High: 💵💵💵💵💵
PLTB-KALTIM-022,34851,16213,57,Lake Baileymouth: risiko sedang,High: ★★★★★,160.7,8.85,0.62,13,"PLTB di Port Cody, akses mudah",Medium: ★★★☆,5.3,3.6,4.6,West Julie: pariwisata berkembang,Low: 💵💵
PLTB-SULU-023,50582,13428,50,Davisview: debit air kuat,Medium: ★★☆☆☆,178.04,18.1,0.71,28,"PLTB di Meganhaven, akses mudah",High: ★☆☆,3.9,3.5,4.7,South Dennis: pertumbuhan stabil,High: 💵💵💵💵
PLTS-SUMUT-024,82706,27575,73,"Tapanuli: banjir musiman, debit air stabil",Medium: ★★★☆☆,178.54,18.34,0.7,43,"PLTS di Paigeshire, akses mudah",Low: ★★☆☆☆☆,5.5,3.8,5,Port Kenneth: pertumbuhan stabil,High: 💵💵💵💵💵
PLTS-MALUKU-025,63407,23815,30,South Michael: risiko sedang,Medium: ★★★☆☆,154.09,19.46,0.41,46,"PLTS di Amandachester, akses mudah",Medium: ★★★★★,5.5,3.2,4.1,Samuelville: pertumbuhan stabil,High: 💵💵💵💵
PLTA-KALSEL-026,60889,18257,28,Osbornemouth: radiasi matahari tinggi,Medium: ★★☆☆☆,114.23,10.69,0.53,55,"PLTA di West Jason, permintaan pasar tinggi",Low: ★★★☆,5.2,4,4.8,Keithfort: industri kuat,Medium: 💵💵💵
PLTS-BALI-027,107159,28169,14,Kimberlyton: cuaca stabil,Medium: ★★★☆☆,159.32,10.64,0.69,46,"PLTS di Port Tina, biaya logistik tinggi",High: ★★★☆☆☆,4.4,3.9,5.1,Joehaven: pertumbuhan stabil,High: 💵💵💵💵
PLTS-JABAR-028,87986,18998,31,Clarkborough: risiko sedang,Medium: ★★★☆☆,126.25,8.45,0.78,20,"PLTS di Davidstad, tantangan lahan",High: ★★★★★☆☆☆☆,5.3,3.4,4.7,Nathanielbury: ekonomi agro,High: 💵💵💵💵
PLTA-SULTRA-029,71221,22129,22,Moorefort: cuaca stabil,High: ★★★★★,125.79,13.25,0.53,18,"PLTA di Jenniferborough, permintaan pasar tinggi",High: ★★★★★☆☆☆,5.4,4.4,5.1,Lake Jason: pertumbuhan stabil,High: 💵💵💵💵💵
PLTA-JABW-030,49404,5034,29,Joelview: risiko sedang,High: ★★★★☆,137.37,7.56,0.76,23,"PLTA di Calvinland, permintaan pasar tinggi",Low: ★☆,3.9,3.8,4.8,Simmonsshire: pariwisata berkembang,Medium: 💵💵💵
PLTS-JABW-031,96619,17820,46,East Dannyfort: cuaca stabil,Medium: ★★★☆☆,150.51,9.09,0.65,18,"PLTS di Port Lesliestad, permintaan pasar tinggi",High: ★★★★,5.2,3.7,4.7,Robertborough: industri kuat,High: 💵💵💵💵
PLTS-NTT-032,69220,25567,41,"Sumba: radiasi matahari tinggi, rawan kekeringan",High: ★★★★★,229.3,12.67,0.81,54,"PLTS di West Christina, akses mudah",High: ★★★★★☆☆☆,3.4,3.9,5.1,Mccormickburgh: pertumbuhan stabil,High: 💵💵💵💵💵
PLTM-DIY-033,36966,10131,52,Rebeccaport: cuaca stabil,Medium: ★★★☆☆,125.35,8.55,0.68,60,"PLTM di Lake Jenniferhaven, biaya logistik tinggi",Low: ★☆☆,5.3,3.7,5,Harrisonport: ekonomi agro,Medium: 💵💵💵
